TID: [-1] [] [2018-05-23 13:57:28,962]  INFO {org.wso2.andes.wso2.internal.QpidBundleActivator} -  Setting BundleContext in PluginManager {org.wso2.andes.wso2.internal.QpidBundleActivator}
TID: [-1234] [] [2018-05-23 13:57:30,306]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Starting WSO2 Carbon... {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2018-05-23 13:57:30,307]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Operating System : Mac OS X 10.12.6, x86_64 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2018-05-23 13:57:30,307]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Home        : /Library/Java/JavaVirtualMachines/jdk1.8.0_172.jdk/Contents/Home/jre {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2018-05-23 13:57:30,307]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Version     : 1.8.0_172 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2018-05-23 13:57:30,307]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java VM          : Java HotSpot(TM) 64-Bit Server VM 25.172-b11,Oracle Corporation {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2018-05-23 13:57:30,307]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Carbon Home      : /Users/kaveh/Documents/Sogeti/docker-apim/dockerfiles/apim/files/wso2am-2.2.0 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2018-05-23 13:57:30,307]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Temp Dir    : /Users/kaveh/Documents/Sogeti/docker-apim/dockerfiles/apim/files/wso2am-2.2.0/tmp {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2018-05-23 13:57:30,307]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  User             : kaveh, en-NL, Europe/Amsterdam {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1] [] [2018-05-23 13:57:30,687]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} -  Successfully deployed the Kafka output event adaptor service {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS}
TID: [-1] [] [2018-05-23 13:57:30,822]  INFO {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS} -  Successfully deployed the execution manager tracker service {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS}
TID: [-1234] [] [2018-05-23 13:57:32,735]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} -  ConsentManagerComponent is activated. {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent}
TID: [-1234] [] [2018-05-23 13:57:32,995]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiver} -  Started Binary SSL Transport on port : 9711 {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiver}
TID: [-1234] [] [2018-05-23 13:57:32,996]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiver} -  Started Binary TCP Transport on port : 9611 {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiver}
TID: [-1234] [] [2018-05-23 13:57:33,003]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} -  Successfully deployed Agent Server  {org.wso2.carbon.databridge.core.internal.DataBridgeDS}
TID: [-1234] [] [2018-05-23 13:57:33,289]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} -  Configured Registry in 130ms {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService}
TID: [-1234] [] [2018-05-23 13:57:33,563]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} -  Registry Mode    : READ-WRITE {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent}
TID: [-1234] [] [2018-05-23 13:57:33,577]  INFO {org.wso2.andes.configuration.AndesConfigurationManager} -  Main andes configuration located at : /Users/kaveh/Documents/Sogeti/docker-apim/dockerfiles/apim/files/wso2am-2.2.0/repository/conf/broker.xml {org.wso2.andes.configuration.AndesConfigurationManager}
TID: [-1234] [] [2018-05-23 13:57:33,731]  INFO {org.wso2.andes.configuration.AndesConfigurationManager} -  Main andes configuration located at : /Users/kaveh/Documents/Sogeti/docker-apim/dockerfiles/apim/files/wso2am-2.2.0/repository/conf/broker.xml {org.wso2.andes.configuration.AndesConfigurationManager}
TID: [-1] [] [2018-05-23 13:57:43,976]  INFO {org.apache.catalina.startup.TaglibUriRule} -  TLD skipped. URI: http://tiles.apache.org/tags-tiles is already defined {org.apache.catalina.startup.TaglibUriRule}
TID: [-1234] [] [2018-05-23 13:57:54,665]  INFO {org.wso2.carbon.metrics.impl.util.JDBCReporterBuilder} -  Creating JDBC reporter for Metrics with source 'Kavehs-MacBook-Pro.local', data source 'jdbc/WSO2MetricsDB' and 60 seconds polling period {org.wso2.carbon.metrics.impl.util.JDBCReporterBuilder}
TID: [-1234] [] [2018-05-23 13:57:54,666]  INFO {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder} -  Creating JMX reporter for Metrics with domain 'org.wso2.carbon.metrics' {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder}
TID: [-1234] [] [2018-05-23 13:57:54,673]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} -  Started JDBC reporter for Metrics {org.wso2.carbon.metrics.impl.reporter.AbstractReporter}
TID: [-1234] [] [2018-05-23 13:57:54,673]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} -  Started JMX reporter for Metrics {org.wso2.carbon.metrics.impl.reporter.AbstractReporter}
TID: [-1234] [] [2018-05-23 13:58:26,605]  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} -  Default Embedded Solr Server Initialized {org.wso2.carbon.registry.indexing.solr.SolrClient}
TID: [-1234] [] [2018-05-23 13:58:27,680]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} -  Carbon UserStoreMgtDSComponent activated successfully. {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent}
TID: [-1234] [] [2018-05-23 13:58:30,547]  INFO {org.apache.axis2.deployment.ClusterBuilder} -  Clustering has been disabled {org.apache.axis2.deployment.ClusterBuilder}
TID: [-1234] [] [2018-05-23 13:58:31,295]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} -  User Store Configuration Deployer initiated. {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer}
TID: [-1234] [] [2018-05-23 13:58:31,297]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} -  User Store Configuration Deployer initiated. {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer}
TID: [-1234] [] [2018-05-23 13:58:33,723]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} -  WSS Sender started {org.wso2.carbon.websocket.transport.WebsocketTransportSender}
TID: [-1234] [] [2018-05-23 13:58:33,736]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} -  Initializing Pass-through HTTP/S Sender... {org.apache.synapse.transport.passthru.PassThroughHttpSender}
TID: [-1234] [] [2018-05-23 13:58:33,778]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} -  No proxy configuration found {org.apache.synapse.transport.passthru.PassThroughHttpSender}
TID: [-1234] [] [2018-05-23 13:58:33,877]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} -  Pass-through HTTP Sender started... {org.apache.synapse.transport.passthru.PassThroughHttpSender}
TID: [-1234] [] [2018-05-23 13:58:33,878]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} -  Initializing Pass-through HTTP/S Sender... {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender}
TID: [-1234] [] [2018-05-23 13:58:33,879]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} -  No proxy configuration found {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender}
TID: [-1234] [] [2018-05-23 13:58:33,880]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} -  HTTPS Loading Identity Keystore from : repository/resources/security/wso2carbon.jks {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder}
TID: [-1234] [] [2018-05-23 13:58:33,885]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} -  HTTPS Loading Trust Keystore from : repository/resources/security/client-truststore.jks {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder}
TID: [-1234] [] [2018-05-23 13:58:33,901]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} -  customSSLProfiles configuration is loaded from path: /Users/kaveh/Documents/Sogeti/docker-apim/dockerfiles/apim/files/wso2am-2.2.0/repository/resources/security/sslprofiles.xml {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder}
